,PCE_before,PCE_after,PCE_delta,PCE_before_ceil,PCE_before_x,PCE_before_ceil_x,PCE_before_median_x,PCE_before_mean_x
1923,18.10794949,12.40500757,31.49413423,19,4,19.24496343,18.06233812,18.02807995
1924,17.44267643,11.74193453,32.68272461,18,4,19.24496343,18.06233812,18.02807995
1925,15.25602659,10.48064799,31.30158807,16,3,16.76745839,15.28330418,15.37391053
1926,18.25316003,15.96940762,12.51154544,19,4,19.24496343,18.06233812,18.02807995
1927,18.05816427,13.73692055,23.92958473,19,4,19.24496343,18.06233812,18.02807995
1928,18.73581475,16.13490012,13.88204711,19,4,19.24496343,18.06233812,18.02807995
1929,17.28421178,15.12733821,12.47886564,18,4,19.24496343,18.06233812,18.02807995
1930,17.31168794,15.30348095,11.60029568,18,4,19.24496343,18.06233812,18.02807995
1931,14.43766857,14.11030455,2.267429921,15,3,16.76745839,15.28330418,15.37391053
1932,17.71167252,16.24753721,8.2664994,18,4,19.24496343,18.06233812,18.02807995
1933,19.11930841,16.80446574,12.10735566,20,4,19.24496343,18.06233812,18.02807995
1934,12.89011662,10.63815004,17.47049041,13,2,14.15807755,12.39123084,12.39098432
1935,18.20607285,8.563061871,52.9659035,19,4,19.24496343,18.06233812,18.02807995
1936,19.17835471,8.277220263,56.84082191,20,4,19.24496343,18.06233812,18.02807995
1937,19.01902621,8.580179502,54.88633642,20,4,19.24496343,18.06233812,18.02807995
1938,14.19113791,11.29148774,20.43282358,15,3,16.76745839,15.28330418,15.37391053
1939,19.6606212,9.565927104,51.34473624,20,5,28.98172701,20.98497404,21.32565512
1940,8.05243972,2.528876492,68.59490316,9,1,10.39182878,7.725121882,7.267622968
1941,6.656935015,5.148335629,22.66207171,7,1,10.39182878,7.725121882,7.267622968
1942,8.218578195,2.376189784,71.08758075,9,1,10.39182878,7.725121882,7.267622968
1943,7.341404274,5.376856718,26.75983345,8,1,10.39182878,7.725121882,7.267622968
1944,6.139685493,2.745938863,55.27557777,7,1,10.39182878,7.725121882,7.267622968
1945,7.758465555,5.935038993,23.50241228,8,1,10.39182878,7.725121882,7.267622968
1946,9.666795201,6.02319163,37.69194956,10,1,10.39182878,7.725121882,7.267622968
1947,10.46180148,7.554889437,27.78596068,11,2,14.15807755,12.39123084,12.39098432
1948,11.31684619,4.849546736,57.14754221,12,2,14.15807755,12.39123084,12.39098432
1949,10.98507459,7.422607019,32.43007175,11,2,14.15807755,12.39123084,12.39098432
1950,12.39123084,5.638840496,54.49329799,13,2,14.15807755,12.39123084,12.39098432
1951,5.395774746,4.506057398,16.48914919,6,1,10.39182878,7.725121882,7.267622968
1952,6.352380809,5.189965376,18.29889404,7,1,10.39182878,7.725121882,7.267622968
1953,6.772472102,5.943979632,12.23323562,7,1,10.39182878,7.725121882,7.267622968
1954,3.922698365,3.352155009,14.54466551,4,1,10.39182878,7.725121882,7.267622968
1955,5.355024396,3.31512382,38.0932079,6,1,10.39182878,7.725121882,7.267622968
1956,5.477183326,3.444563297,37.11068094,6,1,10.39182878,7.725121882,7.267622968
1957,5.124033844,4.37560908,14.60616356,6,1,10.39182878,7.725121882,7.267622968
1958,7.790548275,7.551335206,3.070554999,8,1,10.39182878,7.725121882,7.267622968
1959,7.172167677,6.144935135,14.32248364,8,1,10.39182878,7.725121882,7.267622968
